TGL,BARANG, QTY , HARGA (RP) , VAT (11%) ,DEBIT
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 2,591,972.10 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 2,591,972.10 "
,Pe sheet 4cm x 1m x 1m, 50 ," 77,837.00 ", - ," 4,691,850.00 "
,Pe sheet 2cm x 1m x 1m, 20 ," 40,000.00 ", - ," 4,691,850.00 "
,SF 12mic x 300m, 6 ," 80,000.00 "," 52,800.000 "," 532,800.00 "
3/16/2023,Pe foam 1mm x 500m, 15 ," 465,000.00 ",," 6,975,000.00 "
3/24/2023,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 9/8 hitam, 3 ," 98,000.00 ",," 392,000.00 "
,Strapping band 9/8 biru, 1 ," 98,000.00 ",," 392,000.00 "
,Strapping band 15/8 putih, 3 ," 82,000.00 ",," 246,000.00 "
,Strapping band 15/8 kuning, 1 ," 86,000.00 ",," 86,000.00 "
,Pe sheet 2cm x 1m x 1m, 10 ," 45,000.00 ",," 450,000.00 "
,Strapping band 12/7 kuning, 3 ," 73,200.00 ",," 219,600.00 "
3/13/2023,Strapping band 15/7 hijau, 15 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 15/8 kuning, 5 ," 80,000.00 "," 44,000.000 "," 444,000.00 "
,pe tube dl 9cm x 2m, 200 ," 14,090.91 "," 310,000.020 "," 3,128,182.02 "
3/25/2023,Strapping band 15/7 biru, 20 ," 82,000.00 ",," 1,640,000.00 "
,Strapping band 12/7 biru, 15 ," 87,000.00 ",," 2,610,000.00 "
,Strapping band 12/7 kuning, 10 ," 87,000.00 ",," 2,610,000.00 "
,Strapping band 12/7 hijau, 5 ," 87,000.00 ",," 2,610,000.00 "
,Strapping band 12/7 hitam, 35 ," 71,750.00 ",," 2,511,250.00 "
,Strapping band 15/8 kuning, 23 ," 87,000.00 ", - ," 2,001,000.00 "
,Strapping band 15/7 kuning, 10 ," 86,363.64 "," 95,000.004 "," 1,248,245.49 "
,Bubble clear 50m, 1 ," 260,909.09 "," 28,700.000 "," 1,248,245.49 "
3/27/2023,Strapping band 15/7 kuning, 50 ," 85,000.00 ",," 5,950,000.00 "
,Strapping band 15/7 merah, 20 ," 85,000.00 ",," 5,950,000.00 "
,Strapping band 15/8 kuning, 100 ," 82,000.00 ",," 8,200,000.00 "
,Strapping band 12/7 kuning, 130 ," 73,000.00 ",," 9,490,000.00 "
,Strapping band 12/7 kuning, 130 ," 73,000.00 ",," 15,330,000.00 "
,Strapping band 12/7 merah, 80 ," 73,000.00 ",," 15,330,000.00 "
,Strapping band 15/7 kuning, 5 ," 86,000.00 ",," 430,000.00 "
,Strapping band 12/7 kuning, 50 ," 84,000.00 "," 462,000.000 "," 4,845,150.00 "
,Rafia hitam , 10 ," 16,500.00 "," 18,150.000 "," 4,845,150.00 "
,Strapping band 12/7 kuning, 150 ," 85,000.00 "," 1,402,500.000 "," 14,152,500.00 "
,Strapping band 15/8 kuning, 20 ," 95,000.00 ", - ," 1,900,000.00 "
,pe tube dl 9cm x 2m, 340 ," 15,454.95 "," 578,015.315 "," 5,832,700.00 "
,Pe sheet 2cm x 1m x 2m, 300 ," 89,909.91 "," 2,967,027.027 "," 29,940,000.00 "
,Edge P, 100 ," 23,500.00 "," 258,500.000 "," 2,608,500.00 "
,Strapping band 12/7 hitam, 25 ," 73,500.00 ",," 2,499,000.00 "
,Strapping band 12/7 merah, 6 ," 73,500.00 ",," 2,499,000.00 "
,Strapping band 15/7 hitam, 3 ," 73,500.00 ",," 2,499,000.00 "
3/28/2023,Lakban clear 45mm x 80y, 720 ," 7,000.00 ",," 5,040,000.00 "
,Strapping band 12/8 biru, 2 ," 88,000.00 ",," 176,000.00 "
,Strapping band 12/8 kuning, 30 ," 86,600.00 ",," 2,598,000.00 "
,Strapping band 15/7 kuning, 5 ," 74,000.00 ",," 370,000.00 "
,Single face 150cm," 1,559 "," 10,681.82 "," 1,831,825.312 "," 18,484,782.69 "
,Pe foam 1mm x 500m, 1 ," 509,009.01 "," 55,990.991 "," 2,075,000.00 "
,Pe foam 2mm x 200m, 2 ," 454,954.95 "," 100,090.090 "," 2,075,000.00 "
,Pe foam 8mm x 50m, 1 ," 450,450.45 "," 49,549.550 "," 2,075,000.00 "
,Pe foam 2mm x 200m, 100 ," 437,950.45 "," 4,817,454.950 "," 48,612,499.95 "
3/29/2023,Gripper motif CH-06," 15,000 ", 216.00 ,," 3,240,000.00 "
,Strapping band 9/8 kuning, 20 ," 96,800.00 ",," 1,936,000.00 "
,Strapping band 15/8 kuning, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 15/8 kuning, 20 ," 80,000.00 "," 176,000.000 "," 1,776,000.00 "
3/30/2023,Pe foam 1mm x 500m, 2 ," 650,000.00 ",," 2,200,000.00 "
,Bubble clear 50m, 6 ," 150,000.00 ",," 2,200,000.00 "
,Strapping band 15/7 hitam, 15 ," 85,000.00 "," 140,250.000 "," 1,415,250.00 "
3/31/2023,PET 18kg hijau lokal, 2 ," 385,000.00 ",," 770,000.00 "
,Strapping band 15/7 kuning, 1 ," 169,780.00 ",," 169,780.00 "
,Strapping band 12/8 putih, 5 ," 85,000.00 ",," 850,000.00 "
,Strapping band 12/8 kuning, 5 ," 85,000.00 ",," 850,000.00 "
,Strapping band 15/8 kuning, 22 ," 169,800.00 "," 410,916.000 "," 4,146,516.00 "
4/3/2023,Strapping band 12/8 kuning, 30 ," 86,600.00 ",," 2,598,000.00 "
,Strapping band 15/8 kuning, 100 ," 83,500.00 ",," 8,350,000.00 "
,Strapping band 15/8 kuning, 25 ," 83,600.00 ",," 2,090,000.00 "
,Strapping band 12/7 merah, 30 ," 81,800.00 ",," 9,816,000.00 "
,Strapping band 12/7 biru, 30 ," 81,800.00 ",," 9,816,000.00 "
,Strapping band 12/7 hijau, 30 ," 81,800.00 ",," 9,816,000.00 "
,Strapping band 12/7 hitam, 30 ," 81,800.00 ",," 9,816,000.00 "
,Strapping band 12/8 kuning, 20 ," 82,000.00 ",," 1,640,000.00 "
,Strapping band 15/7 kuning, 15 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 12/8 kuning, 30 ," 85,000.00 ",," 2,550,000.00 "
,Strapping band 15/7 hijau, 15 ," 82,000.00 ",," 1,230,000.00 "
,Strapping band 15/8 putih, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 15/8 kuning, 100 ," 84,000.00 ",," 8,400,000.00 "
4/1/2023,Strapping band 12/8 kuning, 10 ," 84,000.00 ",," 840,000.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Pe tube dl 9cm x 2m, 119 ," 15,454.95 "," 202,305.360 "," 2,041,445.00 "
4/4/2023,Strapping band 15/8 merah, 5 ," 88,000.00 ",," 440,000.00 "
,Strapping band 9/8 kuning, 5 ," 89,000.00 ",," 445,000.00 "
,Pe tube dl 9cm x 2m, 340 ," 15,500.00 ",," 5,270,000.00 "
,Strapping band 15/8 kuning, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 9/8 kuning, 30 ," 80,000.00 "," 264,000.000 "," 4,617,600.00 "
,Strapping band 9/8 hitam, 5 ," 80,000.00 "," 44,000.000 "," 4,617,600.00 "
,Strapping band 9/8 merah, 10 ," 80,000.00 "," 88,000.000 "," 4,617,600.00 "
,Strapping band 15/8 kuning, 3 ," 80,000.00 "," 26,400.000 "," 4,617,600.00 "
,Strapping band 15/8 hijau, 2 ," 80,000.00 "," 17,600.000 "," 4,617,600.00 "
,Strapping band 9/8 hijau, 2 ," 80,000.00 "," 17,600.000 "," 4,617,600.00 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.800 "," 3,455,962.80 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 3,311,962.50 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 "," 44,000.000 "," 3,311,962.50 "
,Pe sheet 1cm x 1m x 1m, 10 ," 24,864.00 "," 27,350.400 "," 3,311,962.50 "
,Strapping band 15/8 kuning, 40 ," 80,000.00 "," 352,000.000 "," 4,134,750.00 "
,Klem seng, 25 ," 21,000.00 "," 57,750.000 "," 4,134,750.00 "
,Strapping band 12/8 kuning, 30 ," 82,000.00 "," 270,600.000 "," 2,730,600.00 "
4/5/2023,Strapping band 15/7 kuning, 100 ," 81,200.00 ",," 8,120,000.00 "
,SB 12/8 kuning PAP, 200 ," 105,000.00 ",," 21,000,000.00 "
4/4/2023,Strapping band 15/8 kuning, 11 ," 84,000.00 ",," 924,000.00 "
,Strapping band 15/7 kuning, 50 ," 81,300.00 ",," 4,065,000.00 "
,Pe foam 2mm x 200m, 1 ," 550,000.00 ",," 550,000.00 "
,Strapping band 12/8 hijau, 5 ," 87,000.00 ",," 1,740,000.00 "
,Strapping band 12/8 biru, 15 ," 87,000.00 ",," 1,740,000.00 "
,Strapping band 9/8 biru, 3 ," 98,000.00 ",," 392,000.00 "
,Strapping band 9/8 merah, 1 ," 98,000.00 ",," 392,000.00 "
,Strapping band 15/8 biru, 3 ," 85,000.00 ",," 765,000.00 "
,Strapping band 15/8 hijau, 3 ," 85,000.00 ",," 765,000.00 "
,Strapping band 15/8 merah, 3 ," 85,000.00 ",," 765,000.00 "
,Strapping band 15/7 hitam, 5 ," 71,750.00 ",," 358,750.00 "
4/6/2023,Bubble clear 100m, 6 ," 300,000.00 ",," 1,800,000.00 "
,Single face 150cm, 53 ," 11,000.00 ",," 583,000.00 "
,Pe foam 2mm x 300m, 20 ," 665,540.54 "," 1,464,189.189 "," 14,775,000.00 "
,Single face 150cm," 1,222 "," 10,681.82 "," 1,435,850.244 "," 14,489,034.28 "
4/8/2023,"SB 15/8 kuning, merah, hijau,", 5 ," 86,600.00 ",," 433,000.00 "
,"putih, biru @1 roll",,,," 433,000.00 "
,Strapping band 12/8 kuning, 20 ," 86,600.00 ",," 2,490,000.00 "
,Strapping band 12/7 kuning, 10 ," 75,800.00 ",," 2,490,000.00 "
,Isolasi clear 24mm x 72y, 144 ," 5,000.00 ",," 720,000.00 "
,PET 18kg hijau lokal, 5 ," 405,000.00 "," 222,750.000 "," 2,247,750.00 "
4/10/2023,Bubble clear 100m, 1 ," 290,000.00 ",," 290,000.00 "
,Isolasi clear 24mm x 72y, 720 ," 3,800.00 ",," 2,736,000.00 "
,Strapping band 12/7 kuning, 51 ," 75,800.00 ",," 3,865,800.00 "
,Strapping band 15/7 kuning, 10 ," 95,000.00 ", - ," 950,000.00 "
4/11/2023,Styrofoam 2cm, 10 ," 550,000.00 ",," 11,000,000.00 "
,Styrofoam 4cm, 10 ," 550,000.00 ",," 11,000,000.00 "
,Bubble clear 50m, 20 ," 125,000.00 ",," 2,500,000.00 "
,SF 17mic x 10cm, 250 ," 20,975.00 ",," 5,243,750.00 "
,Gripper motif ch-06," 30,000 ", 216.00 ,," 10,155,000.00 "
,Strapping band 15/7 kuning, 50 ," 73,500.00 ",," 10,155,000.00 "
,Strapping band 12/7 biru, 15 ," 87,000.00 ",," 1,305,000.00 "
,Gesper putih, 30 ," 35,000.00 ",," 1,050,000.00 "
,Strapping band 15/8 kuning, 50 ," 85,000.00 ",," 4,250,000.00 "
,Strapping band 12/7 putih, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 12/7 putih, 5 ," 84,400.00 ",," 422,000.00 "
,Strapping band 15/7 hitam, 15 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 15/8 merah, 2 ," 82,000.00 ",," 164,000.00 "
,Lakban grid fiber, 10 ," 38,000.00 "," 41,800.000 "," 421,800.00 "
,SF 17mic x 50cm x 150m, 96 ," 43,873.87 "," 463,308.108 "," 4,675,200.00 "
,Lakban clear 48mm x 80y," 1,800 "," 6,500.00 "," 1,287,000.000 "," 12,987,000.00 "
,Strapping band 15/8 kuning, 27 ," 169,800.00 "," 504,306.000 "," 5,088,906.00 "
4/12/2023,Strapping band 12/8 putih, 50 ," 84,200.00 ",," 10,335,000.00 "
,Strapping band 12/10 kuning, 25 ," 245,000.00 ",," 10,335,000.00 "
,Strapping band 12/7 hijau, 3 ," 73,200.00 ",," 219,600.00 "
,Strapping band 15/7 kuning, 2 ," 95,000.00 ",," 190,000.00 "
,Strapping band 15/7 hijau, 5 ," 74,000.00 ",," 370,000.00 "
,Strapping band 12/8 kuning, 400 ," 84,000.00 "," 3,696,000.000 "," 37,296,000.00 "
,Strapping band 12/7 kuning, 50 ," 84,000.00 "," 462,000.000 "," 4,662,000.00 "
,Strapping band 12/8 kuning, 80 ," 90,800.00 "," 799,040.000 "," 8,063,040.00 "
,Pe sheet 2cm x 1m x 1m, 15 ," 40,000.00 "," 66,000.000 "," 1,079,985.60 "
,Pe sheet 1cm x 1m x 1m, 15 ," 24,864.00 "," 41,025.600 "," 1,079,985.60 "
,Strapping band 12/8 kuning, 150 ," 85,000.00 "," 1,402,500.000 "," 14,152,500.00 "
4/13/2023,Lakban tan 48mm x 80y, 144 ," 9,000.00 ",," 1,296,000.00 "
,Strapping band 15/8 merah, 5 ," 88,000.00 ",," 440,000.00 "
,Strapping band 12/7 putih, 1 ," 73,200.00 ",," 700,400.00 "
,Strapping band 12/7 merah, 2 ," 73,200.00 ",," 700,400.00 "
,Strapping band 12/7 hijau, 2 ," 73,200.00 ",," 700,400.00 "
,Strapping band 15/8 merah, 2 ," 83,600.00 ",," 700,400.00 "
,Strapping band 15/8 hijau, 2 ," 83,600.00 ",," 700,400.00 "
4/14/2023,Pe foam 1mm x 500m, 3 ," 675,000.00 ",," 4,660,000.00 "
,Pe tube dl 9cm x 2m, 170 ," 15,500.00 ",," 4,660,000.00 "
,Lakban clear 48mm x 90y, 360 ," 7,657.66 "," 303,243.243 "," 4,230,000.00 "
,Pe foam 1mm x 500m, 2 ," 527,027.03 "," 115,945.946 "," 4,230,000.00 "
4/15/2023,Lakban clear 48mm x 100y, 432 ," 8,000.00 ",," 4,608,000.00 "
,Lakban clear 45mm x 80y, 144 ," 8,000.00 ",," 4,608,000.00 "
,Lakban clear 48mm x 90y, 216 ," 8,500.00 ",," 4,324,800.00 "
,Lakban clear 24mm x 72y, 432 ," 5,150.00 ",," 4,324,800.00 "
,Strapping band 15/8 kuning, 3 ," 88,000.00 ",," 4,324,800.00 "
,Bubble clear 100m, 6 ," 300,000.00 ",," 1,800,000.00 "
,Strapping band 15/8 kuning, 10 ," 86,363.64 "," 95,000.004 "," 958,636.40 "
,Strapping band 15/7 kuning, 20 ," 95,000.00 ", - ," 1,900,000.00 "
4/17/2023,Strapping band 15/7 kuning, 5 ," 85,000.00 ",," 425,000.00 "
,Strapping band 12/8 kuning, 10 ," 87,000.00 ",," 1,479,000.00 "
,Strapping band 12/8 merah, 7 ," 87,000.00 ",," 1,479,000.00 "
,Strapping band 9/8 kuning, 30 ," 96,800.00 ",," 2,904,000.00 "
,Strapping band 15/8 kuning, 1 ," 83,500.00 ",," 83,500.00 "
,Strapping band 15/8 kuning, 50 ," 85,000.00 ",," 4,250,000.00 "
,Strapping band 12/7 kuning, 20 ," 75,800.00 ",," 1,516,000.00 "
,Strapping band 12/7 kuning, 20 ," 71,750.00 ",," 1,435,000.00 "
,Pe foam 2mm x 200m, 25 ," 466,216.22 "," 1,282,094.595 "," 12,937,500.00 "
,Pe foam 2mm x 300m, 10 ," 665,540.54 "," 732,094.595 "," 7,387,500.00 "
4/18/2023,Gripper motif ch-06," 1,000 ", 350.00 ,," 350,000.00 "
,Strapping band 12/7 kuning, 100 ," 73,000.00 ",," 7,300,000.00 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.800 "," 4,175,953.20 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 "," 44,000.000 "," 4,175,953.20 "
,Pe sheet 1cm x 1m x 1m, 10 ," 24,864.00 "," 27,350.400 "," 4,175,953.20 "
4/19/2023,Pe tube dl 9cm x 2m, 340 ," 15,500.00 ",," 5,270,000.00 "
,Strapping band 12/8 kuning, 4 ," 88,000.00 ",," 352,000.00 "
,Strapping band 15/8 kuning, 10 ," 88,000.00 ",," 880,000.00 "
,Bubble clear 100m, 2 ," 130,000.00 ",," 260,000.00 "
,,,,," 120,000.00 "
4/20/2023,Pe sheet 4cm x 1m x 1m, 20 ," 77,837.00 ", - ," 1,876,740.00 "
,Pe sheet 2cm x 1m x 1m, 8 ," 40,000.00 ", - ," 1,876,740.00 "
5/2/2023,Strapping band 12/8 biru, 54 ," 84,600.00 ",," 5,076,000.00 "
,Strapping band 12/7 biru, 6 ," 84,600.00 ",," 5,076,000.00 "
,Strapping band 12/8 kuning, 10 ," 86,000.00 ",," 860,000.00 "
,Strapping band 15/7 kuning, 5 ," 74,000.00 ",," 370,000.00 "
,Strapping ban 15/8 kuning, 11 ," 84,000.00 ",," 924,000.00 "
,Pe foam 2mm x 300m, 10 ," 665,540.54 "," 732,094.595 "," 7,387,500.00 "
5/3/2023,Pe foam 1mm x 500m, 2 ," 650,000.00 ",," 1,300,000.00 "
,Strapping band 12/8 kuning, 30 ," 86,600.00 ",," 4,872,000.00 "
,Strapping band 12/7 merah, 6 ," 75,800.00 ",," 4,872,000.00 "
,Strapping band 12/7 biru, 10 ," 75,800.00 ",," 4,872,000.00 "
,Strapping band 12/7 hijau, 4 ," 75,800.00 ",," 4,872,000.00 "
,Strapping band 12/7 putih, 10 ," 75,800.00 ",," 4,872,000.00 "
5/4/2023,"Pe foam 0,5mm x 800m", 7 ," 635,000.00 ",," 12,405,000.00 "
,Pe foam 1mm x 500m, 8 ," 635,000.00 ",," 12,405,000.00 "
,Bubble clear 100m, 12 ," 240,000.00 ",," 12,405,000.00 "
,Bubble clear 50m, 1 ," 135,000.00 ",," 135,000.00 "
,Strapping band 12/8 biru, 3 ," 88,000.00 ",," 264,000.00 "
,Strapping band 12/7 biru, 2 ," 72,000.00 ",," 360,000.00 "
,Strapping band 15/7 kuning, 3 ," 72,000.00 ",," 360,000.00 "
,Strapping ban 15/8 kuning, 5 ," 88,000.00 ",," 440,000.00 "
,Pe sheet 4cm x 1m x 1m, 40 ," 77,837.00 "," 342,482.800 "," 3,455,962.80 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 "," 44,000.000 "," 444,000.00 "
5/5/2023,Strapping band 15/8 kuning, 5 ," 85,000.00 ",," 850,000.00 "
,Strapping ban 15/8 merah, 5 ," 85,000.00 ",," 850,000.00 "
,Bubble clear 50m, 27 ," 100,000.00 ",," 2,700,000.00 "
,Strapping band 15/7 kuning, 15 ," 71,750.00 ",," 1,076,250.00 "
,Strapping band 15/7 kuning, 8 ," 71,750.00 ",," 717,500.00 "
,Strapping band 15/7 hitam, 2 ," 71,750.00 ",," 717,500.00 "
,Strapping band 15/7 hijau, 8 ," 71,750.00 ",," 574,000.00 "
,Strapping band 15/7 kuning, 50 ," 73,700.00 ",," 3,685,000.00 "
,Strapping band 9/8 hitam, 2 ," 98,000.00 ",," 196,000.00 "
,Single face ," 1,754 "," 10,681.82 "," 2,060,950.351 "," 20,796,862.63 "
,Single face , 368 ," 10,681.82 "," 432,400.074 "," 4,363,309.83 "
5/8/2023,Strapping band 15/7 hijau, 20 ," 82,000.00 ",," 7,380,000.00 "
,Strapping ban 15/8 kuning, 70 ," 82,000.00 ",," 7,380,000.00 "
,Strapping band 12/7 kuning, 25 ," 81,800.00 ",," 4,090,000.00 "
,Strapping band 12/7 merah, 25 ," 81,800.00 ",," 4,090,000.00 "
,Strapping band 12/7 biru, 8 ," 87,000.00 ",," 1,566,000.00 "
,Strapping band 12/7 hitam, 5 ," 87,000.00 ",," 1,566,000.00 "
,Strapping band 12/7 hijau, 5 ," 87,000.00 ",," 1,566,000.00 "
,Strapping band 12/7 kuning, 10 ," 73,000.00 ",," 730,000.00 "
,Strapping band 15/7 kuning, 1 ," 169,780.00 ",," 169,780.00 "
,Strapping band 12/7 kuning, 100 ," 73,000.00 ",," 7,300,000.00 "
,Strapping ban 15/8 kuning, 5 ," 88,000.00 ",," 440,000.00 "
,Strapping band 15/8 kuning, 2 ," 85,000.00 ",," 170,000.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping ban 15/8 merah, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 15/7 hitam, 30 ," 71,750.00 ",," 2,152,500.00 "
,Strapping ban 12/8 kuning, 30 ," 82,000.00 "," 270,600.000 "," 2,730,600.00 "
,PET hijau lokal 18kg, 5 ," 405,000.00 "," 222,750.000 "," 2,247,750.00 "
,Mesin SB high table type K2BI, 1 ," 7,000,000.00 "," 770,000.000 "," 7,936,500.00 "
,Strapping band 15/7 kuning, 2 ," 75,000.00 "," 16,500.000 "," 7,936,500.00 "
5/9/2023,Strapping ban 15/8 kuning, 50 ," 85,000.00 ",," 4,250,000.00 "
,Pe tube dl9cm x 2m, 340 ," 15,500.00 ",," 5,270,000.00 "
,Strapping ban 15/8 merah, 1 ," 82,000.00 ",," 82,000.00 "
,Strapping band 12/7 kuning, 100 ," 73,000.00 ",," 7,300,000.00 "
,Strapping band 15/7 merah, 10 ," 84,000.00 ",," 4,200,000.00 "
,Strapping band 12/7 kuning, 40 ," 84,000.00 ",," 4,200,000.00 "
,Strapping band 15/8 kuning, 5 ," 86,000.00 ",," 430,000.00 "
,Strapping band 9/8 kuning, 3 ," 86,000.00 ",," 258,000.00 "
,Strapping band 12/7 kuning, 50 ," 84,000.00 "," 462,000.000 "," 4,662,000.00 "
,Strapping band 9/8 kuning, 30 ," 80,000.00 "," 264,000.000 "," 4,440,000.00 "
,Strapping band 9/8 merah, 11 ," 80,000.00 "," 96,800.000 "," 4,440,000.00 "
,Strapping band 9/8 hitam, 5 ," 80,000.00 "," 44,000.000 "," 4,440,000.00 "
,Strapping band 15/8 merah, 1 ," 80,000.00 "," 8,800.000 "," 4,440,000.00 "
,Strapping band 15/8 biru, 1 ," 80,000.00 "," 8,800.000 "," 4,440,000.00 "
,Strapping band 15/8 hijau, 2 ," 80,000.00 "," 17,600.000 "," 4,440,000.00 "
,Strapping band 15/8 kuning, 200 ," 85,000.00 "," 1,870,000.000 "," 19,924,500.00 "
,Gesper abu, 25 ," 38,000.00 "," 104,500.000 "," 19,924,500.00 "
,Lakban clear 48mm x 90y, 144 ," 7,387.39 "," 117,016.216 "," 1,180,800.00 "
,Pe foam 2mm x 200m, 20 ," 437,950.45 "," 963,490.990 "," 11,409,699.99 "
,Pe sheet 2cm x 1m x 2m, 19 ," 80,000.00 "," 167,200.000 "," 11,409,699.99 "
5/10/2023,Strapping band 15/7 kuning, 25 ," 73,700.00 ",," 1,842,500.00 "
,Strapping band 9/8 kuning, 10 ," 96,800.00 ",," 968,000.00 "
,Strapping band 15/7 kuning, 50 ," 73,500.00 ",," 7,779,000.00 "
,Gripper motif CH-06," 19,000 ", 216.00 ,," 7,779,000.00 "
,Strapping band 9/8 kuning, 10 ," 85,000.00 ",," 850,000.00 "
,SF 17mic x 50cm, 6 ," 68,181.82 "," 45,000.001 "," 454,090.92 "
5/11/2023,Pe foam 1mm x 500m, 17 ," 635,000.00 ",," 10,795,000.00 "
5/10/2023,Strapping band 12/7 hitam, 35 ," 71,750.00 ",," 2,941,750.00 "
,Strapping band 12/7 kuning, 6 ," 71,750.00 ",," 2,941,750.00 "
,Bubble clear 50m, 23 ," 100,000.00 ",," 2,300,000.00 "
,Pe tube dl9cm x 2m, 70 ," 14,090.91 "," 108,500.007 "," 1,094,863.71 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 ", - ," 3,830,564.56 "
,Styrofoam 2cm x 1m x 1m, 25 ," 22,000.00 ", - ," 3,830,564.56 "
,Styrofoam 3cm x 1m x 1m, 16 ," 34,090.91 ", - ," 3,830,564.56 "
,Pe sheet 2cm x 1m x 1m, 10 ," 40,000.00 ", - ," 3,830,564.56 "
5/12/2023,Bubble clear 50m, 10 ," 135,000.00 ",," 1,350,000.00 "
,Strapping band 12/8 kuning, 6 ," 84,000.00 ",," 504,000.00 "
,Strapping band 15/7 kuning, 5 ," 74,000.00 ",," 370,000.00 "
,Pe sheet 4cm x 1m x 1m, 50 ," 77,837.00 ", - ," 5,616,170.00 "
,Pe sheet 2cm x 1m x 1m, 40 ," 40,000.00 ", - ," 5,616,170.00 "
,Pe sheet 1cm x 1m x 1m, 5 ," 24,864.00 ", - ," 5,616,170.00 "
,Pe sheet 4cm x 1m x 1m, 30 ," 77,837.00 "," 256,862.100 "," 2,591,972.10 "
,Pe tube dl9cm x 2m, 34 ," 14,090.91 "," 52,700.003 "," 531,790.94 "
5/13/2023,Strapping band 15/7 kuning, 10 ," 88,000.00 ",," 1,320,000.00 "
,Strapping band 15/7 hitam, 5 ," 88,000.00 ",," 1,320,000.00 "
,Strapping band 12/7 biru, 5 ," 91,500.00 ",," 457,500.00 "
5/15/2023,Bubble clear 50m, 7 ," 150,000.00 ",," 1,050,000.00 "
5/16/2023,"Strapping band 15/8 hijau, putih", 4 ," 86,600.00 ",," 346,400.00 "
,merah @1 roll,,,," 346,400.00 "
,Strapping band 12/8 kuning, 10 ," 86,000.00 ",," 860,000.00 "
,Strapping band 9/8 merah, 3 ," 98,000.00 ",," 490,000.00 "
,Strapping band 9/8 hitam, 2 ," 98,000.00 ",," 490,000.00 "
,Strapping band 15/8 putih, 3 ," 84,000.00 ",," 252,000.00 "
,Strapping band 15/8 putih, 10 ," 88,000.00 ",," 880,000.00 "
,Strapping band 15/8 kuning, 5 ," 88,000.00 ",," 440,000.00 "
,Strapping band 9/8 kuning, 30 ," 85,000.00 ",," 2,550,000.00 "
,Strapping band 15/8 kuning, 25 ," 85,000.00 ",," 2,125,000.00 "
,Strapping band 15/8 kuning, 10 ," 82,000.00 ",," 820,000.00 "
,Strapping band 15/7 hijau, 15 ," 80,000.00 ",," 6,000,000.00 "
,Strapping band 15/7 kuning, 60 ," 80,000.00 ",," 6,000,000.00 "
5/15/2023,Pe foam 2mm x 200m, 54 ," 437,950.45 "," 2,601,425.673 "," 26,250,749.97 "
5/15/2023,Pe tube dl9cm x 2m, 355 ," 13,963.96 "," 545,292.793 "," 5,502,500.00 "
,Strapping band 15/8 kuning, 10 ," 86,363.64 "," 95,000.004 "," 958,636.40 "
5/17/2023,Strapping band 15/8 kuning, 50 ," 84,000.00 ",," 4,200,000.00 "
,Lakban clear 48mm x 90y, 72 ," 7,500.00 ",," 1,176,000.00 "
,Single face , 53 ," 12,000.00 ",," 1,176,000.00 "
,Strapping band 15/7 kuning, 1 ," 95,000.00 ",," 95,000.00 "
,Strapping band 9/8 kuning, 10 ," 96,800.00 ",," 968,000.00 "
,Strapping band 15/8 merah, 2 ," 83,600.00 ",," 334,400.00 "
,Strapping band 15/8 kuning, 2 ," 83,600.00 ",," 334,400.00 "
,Strapping band 12/7 kuning, 7 ," 75,800.00 ",," 2,122,400.00 "
,Strapping band 12/7 merah, 5 ," 75,800.00 ",," 2,122,400.00 "
,Strapping band 12/7 putih, 1 ," 75,800.00 ",," 2,122,400.00 "
,Strapping band 12/7 biru, 8 ," 75,800.00 ",," 2,122,400.00 "
,Strapping band 12/7 hijau, 7 ," 75,800.00 ",," 2,122,400.00 "
,Strapping band 12/8 kuning, 210 ," 85,000.00 "," 1,963,500.000 "," 19,813,500.00 "
,Pe foam 2mm x 300m, 20 ," 665,540.54 "," 1,464,189.189 "," 14,775,000.00 "
,Strapping band 15/8 kuning, 27 ," 169,800.00 "," 504,306.000 "," 5,088,906.00 "
5/19/2023,Strapping band 15/8 kuning, 2 ," 82,000.00 ",," 164,000.00 "
